排名,标题,描述,链接,图像,热度,关注者,被浏览量,总回答数,是否在榜,是否已生成ai总结,Hash,回答1,回答1点赞数,回答2,回答2点赞数
1,胖东来红内裤案宣判，被告段某赔偿 40 万、道歉 30 天，怎样从法律角度解读？有哪些警示意义？,据河南省许昌市魏都区人民法院消息，2025 年 5 月 28 日，许昌市魏都区人民法院依法公开开庭审理了原告许昌市胖东来商贸集团有限公司与被告段某名誉权纠纷案，并当庭宣判，判决段某在其个人抖音账号「两个小段（小）」发布宣读书面道歉信的视频，书面道歉信的具体内容需经法院审核，发布后 30 日内不得删除；段某赔偿许昌市胖东来商贸集团有限公司各项经济损失共计 400000 元。部分人大代表、政协委员、媒体记者、律师代表、企业代表旁听了案件庭审。,https://www.zhihu.com/question/1911696926719571825,https://pica.zhimg.com/50/v2-e68907ca78828eee7a977ebfc9309292_400x224.jpg,2156 万热度,742,"1,944,565",374,False,True,63778661844050584197213365990422185342985868714646088477158814937204929149253,[],3160,[],1166
2,游客发现重庆武陵山天池底为 304 不锈钢，景区称可能是防漏措施，用不锈钢治理湖泊渗漏效果怎么样？,近日，有游客在重庆武陵山森林公园发现了「不锈钢天池」，视频引起广泛关注。据网友发布的图片显示，天池水很清澈，池壁有金属光泽。5 月 27 日，该景区工作人员告诉记者，天池的池底及池壁确实是用不锈钢铺装的，印象中该天池已建成多年。 景区工作人员表示，不锈钢铺装工程多年前已完工，主要目的是防止渗漏。由于武陵山属于喀斯特地貌，地下溶洞和裂隙较多，天然蓄水难度大，采用不锈钢材质可有效减少水资源流失，保障饮用水源的稳定性。公开资料显示，该地区地质结构复杂，不锈钢防漏技术或为解决天然湖泊渗漏问题的一种创新尝试。游客发现森林公园天池底为 304 不锈钢？景区：可能是防漏措施,https://www.zhihu.com/question/1911019629867918389,https://pica.zhimg.com/80/v2-21ce1f5a7a8ba1d864eb8122cc037442_400x224.png?source=1def8aca,1406 万热度,546,"2,309,427",151,False,True,19604947960610052894235852562553416199058267355711924898703606115893653696490,[],1861,[],3800
3,如何看待近几年星二代扎堆出道？他们图的是什么？,最近娱乐圈像打开了「星二代盲盒」，一个个接连上桌。 先是陈奕迅女儿陈康堤刚官宣出道，就顶着「华纳年度重点新人」的名头被全网打量；紧接着黄多多要演程耳的新片，阵容一流，争议也一流；而金龟子的女儿王逸宸，干脆直播间直接开麦：「我妈奋斗一辈子，不让我蹭让我干嘛？」 他们已经站在巨人的肩膀上了，为啥还要在娱乐圈打拼？,https://www.zhihu.com/question/1911063428795164228,https://picx.zhimg.com/80/v2-d7ff2aaeca9241ea806088ee1a8c61e4_400x224.png?source=1def8aca,498 万热度,572,"1,717,838",317,False,True,88467308454803501612949722267652561492036610214319056313892761121330656181239,[],5927,[],1076
4,吴艳妮获田径亚锦赛女子 100 米栏季军，赛后哽咽道歉「没拿到冠军很对不起大家」，怎样看待她的表现？,因当地暴雨天气，原本计划 5 月 29 日下午 5 时许进行的亚洲田径锦标赛女子 100 米栏决赛，延迟至当晚 9 时许开赛。比赛中，中国选手吴艳妮以 13 秒 068 的成绩获得季军。 赛后，吴艳妮走路有些一瘸一拐。 赛后采访吴艳妮哽咽向大家道歉：「很感谢你们来现场为我加油，没为中国队拿到这个冠军，很对不起大家。我的伤还没养好，不想为自己过多的解释，我还是觉得我在亚洲是最棒的，中国队是最棒的。」 5 月 28 日上午，吴艳妮以 13 秒 07 的成绩晋级决赛。赛后，吴艳妮的母亲熊艳接受采访时透露，比赛结果如何并不重要，只希望她尽快恢复，以最佳的状态迎接未来的比赛。原来，5 月 3 日，吴艳妮在参加 2025 年长三角国际田径钻石赛（上海 / 绍兴柯桥）时已是带伤参赛，到现在仍没有完全恢复。 亚洲田径锦标赛女子 100 米栏获铜牌，吴艳妮哽咽道歉：没为中国队拿到冠军很对不起大家,https://www.zhihu.com/question/1911702651139225229,https://pica.zhimg.com/80/v2-11d6f86910bddfbe8048bf1da0bc29de_400x224.png?source=1def8aca,292 万热度,172,"452,107",128,False,True,56296926002447867574611757462752497027439611677760964842066405718609112305148,[],236,[],240
5,多地曝「谷子店」闭店消息，为什么会出现闭店潮？这个行业是昙花一现吗？,问题 「谷子经济」还能像过去那样「丰收」吗？挣「二次元」的钱，难不难？ 答案 不只是做单一的「谷子」销售，还自主开发产品，做 IP 代运营，一步一步介入「谷子经济」全链条 自己开发 App，为平台用户建立「模玩元宇宙」，让线上平台不止于购物交易，还增加社交属性，进而提升用户消费黏性 结论 想要分到更大蛋糕，企业必须紧跟热点、更接地气、满足需求。同时，持续扶持和孵化优质 IP，探索更多联名和跨界 你听说过「谷子经济」吗？这是和农业没什么关系的概念，此前相关消费热潮席卷各大城市，「吃谷地」更是成为炙手可热的打卡地。 「谷子」，即英文「goods」的谐音，指的是以动漫、游戏、偶像等流行文化元素为主题的周边商品。购买这些商品被称作「吃谷」，而生产销售这些商品被称作「种谷」。 2024 年，中国「谷子经济」市场规模达 1689 亿元。然而，今年一季度，多地连续曝出「谷子店」闭店的消息。难道「谷子经济」面临着「猝死」？5 月 28 日，我来到成都「谷子经济」聚集地之一——成都天府红购物中心一探究竟。 A「鸡蛋不能放在一个篮子里，公司便开始自主开发产品，做 IP 代运营」 上午 10 点，商场内「谷子店」都已开门营业，客流量却不大。「工作日是这样，周末稍微好一点。平时日营收有几百元，生意惨淡的时候一天才挣一百多块钱。」其中一家「谷子店」店员告诉我，今年以来，线下「谷子店」经营压力明显增大，「因为商场不断有新的‘谷子店’入驻。」 「我们另一家分店目前已是纯亏本了。」另一家「谷子店」老板也倒起苦水。他拿出手机给我算了一笔账，每个月营收要保持在 10 万元以上才能回本，开店以来的收益，远低于对市场的预期。现场逛店的消费者小张告诉我，她家附近的几个「谷子店」，已在今年二三月份闭店。 「谷子经济」歉收，挣「二次元」的钱变难了？ 我来到四川本土「二次元」企业——成都模玩咖科技有限公司寻找答案。2024 年，该公司线上平台交易额达到 3 亿元。 「现在公司的业务怎么样？」面对我的问题，该公司开发部负责人高文奇笑着回答：「还行啊，这得益于我们转型早。」 原来，该公司已不只是做单一的「谷子」销售，在 4 年前就一步一步介入「谷子经济」全链条。谈及转型的原因，该公司创始人姚小明表示，因为发现行业本身存在一些问题，「鸡蛋不能放在一个篮子里，公司便开始自主开发产品，做 IP 代运营。」 为什么要做自己的产品？「做代理销售时，我们发现有些工作室有好作品，但是没有市场销售能力，有些工作室只能完成其中某个环节。我们这种上下游资源整合中间商的价值就凸显了。」高文奇说。 B「我们虽把销售重心放在线上，但也没有放弃线下市场」 自主研发产品有什么挑战？高文奇介绍，首先是版权周期问题，一款好产品从设计到生产再到出货至少要半年，如果其中某个阶段周期太长，就会影响其他环节。「一个有热度的 IP，耽误了产品上市时间，不仅会直接影响销售效果，我们支付的版权费也打水漂了。」 其次是设计建模。高文奇说，从设计到建模，每一步都需要团队反复打磨。在建模师小张工位前，他向我展示了一款已经建好的雕像模型。这是该公司和王者荣耀联名的一款雕像，版权方只提供设定图，主体形象设计和初步建模都需要公司完成。这款雕像光建模就花了 1 个月，中间反复修改了几遍。 当 3D 建模方案获得授权方通过后，则进入产品生产环节。高文奇带我前往位于成都市双流区的生产工厂。车间里，没有想象中的机器轰鸣、流水线作业场景，只有几十名工人师傅专注于手工作业。 「每个产品都要经过修模、制模、成形、修补、喷涂、手涂、组装、检修、包装，困难不少。」厂长符洪银告诉我，更大的问题是人才缺乏，「目前的技术没办法采用机器作业，分件制作和涂装全靠人工，比如一个头雕涂装，没有几年工作经验是没办法胜任的。」 最终，产品需要市场检验。「我们虽把销售重心放在线上，但也没有放弃线下市场。」走进兴隆湖畔的模坑博物馆，各式各样的手办模玩以及小商品，让人目不暇接。姚小明告诉我，这座线下展馆搬了两次家，如今仍在坚持的原因，是用作陈列展示培育市场。「我们正在探索新玩法，如今年 7 月会在重庆开第二个展馆，通过配合商场售卖门票观展的方式开放，既能宣传推广，也能实现部分线下销售转化。」 C「想要分到更大蛋糕，企业必须紧跟热点、更接地气、满足需求」 姚小明向我展示了该公司自己开发的 App「模坑」，这个线上交易平台类似「手办模玩界的淘宝」。安卓手机应用商店显示，该 App 下载次数有 86 万次。打开 App，推荐页展示了许多近期热门 IP 的预售产品，例如，《黑神话：悟空》的可动人偶，价格为 298 元；《画江湖之不良人》的主题雕像，价格为 5666 元；最贵的一款产品——1∶1 钢铁侠 Mark44 雕像，售价为 50 万元。 其他网络平台也可以卖「二次元」产品，消费者凭什么愿意下载这个 App？「我们的 App 玩法更专业、更垂直，且只销售正版产品，所以既吸引了很多工作室入驻，也吸引了一批忠实消费者。」姚小明说。区别于其他平台，模玩咖为平台用户建立了一个「模玩元宇宙」，用户可以将购买的产品放进数字展厅，同时结识更多兴趣相投的人，让线上平台不止于购物交易，还增加了社交属性，进而提升用户消费黏性。 对于「谷子经济」行业面临的问题，姚小明表示，当大家听说这个东西赚钱，盲目进入，供应商就会过剩，一些经营不善的商家必然被淘汰。在他看来，「谷子经济」依然欣欣向荣，「想要分到更大蛋糕，企业必须紧跟热点、更接地气、满足需求。」同时，持续扶持和孵化优质 IP，探索更多联名和跨界。多地曝「谷子店」闭店消息，挣「二次元」的钱难不难,https://www.zhihu.com/question/1911435087171510322,https://picx.zhimg.com/50/v2-cfa3c023696173f80ef4f3621b03d301_400x224.jpg,252 万热度,172,"226,313",69,False,True,48084896474930102412732219068721478993718455523393963436518279983726195924924,[],102,[],197
6,为什么除了人类，哺乳动物拉屎的时间都是 12 秒？,,https://www.zhihu.com/question/1909638546781874113,https://picx.zhimg.com/80/v2-f8bc70505cf76a02478bcfa39458f110_400x224.jpg,233 万热度,262,"596,160",107,False,True,11938132649131850859266674463631450183988491864537832487368062864282345418379,[],1146,[],265
7,如何评价在最终开启荣都保卫战后，《绝地潜兵 2》被大量集中差评的现象？,这是否是玩家们对「设计师教你玩游戏」的反抗？,https://www.zhihu.com/question/1911709283361466031,https://picx.zhimg.com/80/v2-dd18507d4f27056d9da9f1824f02273d_400x224.png?source=1def8aca,224 万热度,116,"612,942",77,False,True,57308659451532936686971286760314573643101405459956240233955787947932158163498,[],599,[],451
8,科比生涯场均 24.9 分，命中率又低，为什么还被称为超级得分手呢？,科比曾砍下第二高分的 81 分，即便退役战也能得到 60 分，更是连续 4 场 50+，场均得分虽然不能与乔丹，詹姆斯比，最主要原因是科比跟腱断裂后，运动能力下降，得分减弱，最后三年拉低了平均得分。,https://www.zhihu.com/question/1911373023505801327,https://pica.zhimg.com/80/v2-78af1ca779c923859e6418e3d322a4e9_400x224.jpg,195 万热度,138,"407,431",98,False,True,47568188017921217917788592919478169518759614692773753440406480461358677927611,[],540,[],96
9,怎么看待《绝地潜兵 2》超级 on sea 保卫进度卡死进度 99.9783%，必须按头防守荣城的问题？,官方是不是从几种运营方式里选择了一种最差的？,https://www.zhihu.com/question/1911469808517624600,https://pic1.zhimg.com/80/v2-32d4cc5f8363dfe72c54f8beb94dd824_400x224.png,184 万热度,27,"99,410",21,False,True,88682082575200938913518191535945512330496209206026342238330654026444061859369,[],122,[],220
10,韩国海军一架军机在浦项坠机，机上 4 人全部遇难，韩国一客机在越南降落时短暂偏离跑道，事故具体情况如何？,央视新闻消息，据韩国媒体 29 日报道，韩国浦项海军巡逻机坠毁事故中，机上 4 人全部遇难。韩国一客机在越南降落时短暂偏离跑道 起落架轮胎受损 央视新闻消息，当地时间 29 日下午，据韩国航空业界消息，韩国济州航空一架自仁川国际机场起飞的飞机在 28 日抵达越南岘港机场后，在降落滑行时短暂偏离跑道，随后重回跑道停稳。在此过程中飞机起落架轮胎受损。 涉事飞机为一架波音 737-800 客机，航班号为 7C2217。事发时飞机上共搭载 180 余名乘客以及机组人员，据悉没有人在事故中伤亡。韩国一客机在越南降落时短暂偏离跑道 起落架轮胎受损韩国海军一架军机在浦项坠机 央视新闻消息，当地时间 29 日 13 时 52 分左右，韩国海军一架反潜巡逻机在韩国东南部城市浦项降落过程中坠落山中。机上共有 4 人，目前人员伤亡情况不明。韩国海军一架军机在浦项坠机,https://www.zhihu.com/question/1911409686751744458,https://pic1.zhimg.com/50/v2-35bcdded6dd4522bee33a0f3f0afca92_400x224.jpg,181 万热度,128,"197,861",38,False,True,84950158789841694026815758553538073605880471717373662460628897896917442381362,[],279,[],36
11,车主曝深蓝汽车更改隐私协议，要求「必须同意推送推广，否则无法使用软件」，如何看待此事？,近日，深蓝汽车因为给老车主推送广告而备受吐槽，后深蓝汽车官方和深蓝汽车 CEO 邓承浩均进行了道歉。 然而事情没有完，昨日有深蓝汽车车主发现手机 App 用户隐私协议更新，里面出现了「向您提供我们的产品推广活动」、「灾害提醒、车辆或人员关怀、活动邀约等消息推送」条例。 从他公布的视频看，而如果选择「不同意」，那么软件将自动退出，无法使用。车主曝深蓝汽车更改隐私协议：必须同意推送推广 否则无法使用软件 不仅推送更新协议要求获取推送广告权限，并且用户如果不点击同意，就无法使用手机控制 App。,https://www.zhihu.com/question/1911498219470434791,https://picx.zhimg.com/80/v2-b3e0dca62abb0cbe81bb46707641f647_400x224.png,177 万热度,79,"82,653",67,False,True,65038789837519065653774173395096057808260505413989488653849058738790335466965,[],103,[],80
