排名,标题,描述,链接,图像,热度,关注者,被浏览量,总回答数,是否在榜,是否已生成ai总结,Hash,回答1,回答1点赞数,回答2,回答2点赞数
12,17 岁中学生成中国首位从北坡登顶珠峰的青少年，这有多厉害？和南坡相比，北坡登顶有哪些挑战？,据央视新闻 5 月 28 日报道，5 月 25 日，北京第八十中学学生李浩榕在当天早晨 6 点 39 分成功登顶珠穆朗玛峰，成为中国首位从北坡登顶珠峰的青少年。 ▲央视新闻报道截图 根据游美营地（北京）教育科技有限公司官方微信公众号文章介绍，李浩榕成为中国登山史上首位从北坡登顶珠峰的未成年男生，全球第一个从北坡登顶珠峰的中国中学生，同时获得国家健将级运动员称号。 此次珠峰攀登历时 46 天，抵达珠峰大本营后，登山队展开了多次高原适应性拉练，建立海拔记忆，并在真实雪山和冰壁环境中进行多项高海拔攀登技能和技术装备的训练，以便冲顶时顺利翻越珠峰北坳大冰壁和第一、第二和第三台阶。5 月 20 日迎来珠峰窗口期，登山队从珠峰大本营出发冲顶，队员于 5 月 25 日 6 点到 9 点，相继胜利登顶。 ▲李浩榕发布的登顶珠峰视频截图 5 月 26 日下午，李浩榕本人也在自己账号分享了自己成功登顶珠峰的视频，他在留言中再次感谢向导洛桑顿珠和索朗次仁，两位向导在其登顶途中所提供的保护与帮助是不可或缺的。李浩榕也感谢亲人和师友，以及攀登雪山以来陪伴他登山的队友。「他们对我的支持令我受益匪浅，没有你们我是真的不可能完成这样的攀登。」 ▲李浩榕发布的登顶珠峰视频截图 5 月 29 日，红星新闻记者在李浩榕抖音账号留言，表达了相关采访请求，截至发稿对方暂未回复。 据北京第八十中学官方微信账号介绍，李浩榕为该校国际部学生，校攀登社成员，成功登顶过海拔 5025 米的四姑娘山、 5895 米的非洲最高峰乞力马扎罗、 6178 米的青海玉珠峰。西藏自治区人民政府官网文章介绍，2024 年 10 月 8 日 8 时 10 分，李浩榕成功登顶海拔 8201 米的卓奥友峰，成为中国第一个登顶卓奥友峰的未成年男性。 29 日，中国登山运动员次仁扎西接受红星新闻记者采访，他表示和南坡相比，从北坡登顶珠峰对挑战者的要求更严格，费用也会更高。从北坡出发抵达海拔 8300 米以后需要越过「三大台阶」，最难的点在于天气变化。「今年和以往不一样，天气变化无常，北坡这边氧气稀少，而南坡氧气更充足一点。」次仁扎西说，北坡的地形相当于一个大风口，风特别大，因此要求严格。 次仁扎西介绍，如果想从北坡登顶珠峰，最主要的还是高海拔适应能力。首先需要家人的支持，第二就是要有充足的资金。 「如果想登顶珠峰又想安全地回来，北坡这边的向导、公司的要求很严格，各项制度都很规范，一般都不会出意外事故。费用或将近 50 万元，而且随着珠峰冰川融化，这个费用以后还会上涨。」次仁扎西说。%3D%3D&scm=thor.280_14-200000.0.0.&spm=smpc.home.top-news2.15.17485092030265oXoZw5_1467,https://www.zhihu.com/question/1911487556740145665,https://pic2.zhimg.com/50/v2-aed9895e1aae27c6892351b4f3b98e4b_400x224.jpg,173 万热度,410,"713,642",314,False,True,38117789232967583491761290622477060865231279646696668106869729077944811401485,[],649,[],629
13,怎样判断父母是不是真的爱你？,怎样判断父母是不是真的爱你？,https://www.zhihu.com/question/321353759,https://pic1.zhimg.com/80/v2-d4cb6a8d0f8e9a7d8af9a0aeead28424_400x224.jpeg,169 万热度,5428,"10,139,677","1,141",False,True,36486690151708735178022108016954794593189558234088427326303103816893639435883,[],4164,[],8901
14,为什么每次浇筑多余的几方混凝土，罐车不愿意拉回去？,,https://www.zhihu.com/question/638477065,https://picx.zhimg.com/v2-b7fafd7ea8a432b51779829969ba952d_400x224.jpg?source=57bbeac9,164 万热度,105,"1,237,411",72,False,True,16194661077042851069613447868359321448233806182173073553645523537640981695821,[],797,[],473
15,儿童公园「司马光砸缸」雕塑被指像猴，当地称将组织调研，如何评价这一设计？作为儿童教育雕塑合适吗？,近日，苏州昆山一儿童公园内一组「司马光砸缸」主题雕塑，因造型夸张被市民吐槽。雕塑中人物形象与正常儿童相去甚远，被形容为「像猴」。 对此，南京零距离记者找到了昆山市开发区管委会了解情况。近日，当地相关部门就儿童公园雕塑情况做了说明： 该公园雕塑建于 2002 年，设计初衷以儿童视角体现人物风格，雕塑面部较为饱满，因建成后至 2022 年改造前均未收到负面反馈，所以改造中保留了雕塑。 该雕塑已经设置 23 年，随着城市建设的精细化，周边市民对公园功能需求不断增加，2022 年启动改造，增加了休闲广场、游乐场地、健身、风雨廊架等功能设施。 针对群众近期提出的雕塑形象问题，相关部门将组织调研，对周边儿童和家长等群体进行问卷调查，研判后再决定对雕塑的处置。 据南京零距离报道，昆山一儿童公园内，一组以「司马光砸缸」为主题的雕塑引发争议，不少居民认为其形象夸张怪异，与认知中的儿童形象相去甚远。 引发争议的雕塑群里共包含 5 个儿童形象，人像呈现出的艺术风格有些怪诞。在公园里游玩的张先生表示，即便考虑到艺术抽象化处理，这样的造型也太夸张。 张先生称，从去年开始就因为这组雕塑的形象问题向相关部门进行反映，希望可以更改。 居民胡女士表示，不像个小孩子，像个动物。如果孩子问起为什么砸缸的司马光像猴子，大人没办法正面回答。 这一组雕塑在当地网友之间也引发热议：「猴子一样」 「确实难看」「比较抽象，欣赏不来，晚上尽量不去那里」「用传统儿童造型会更符合中国人的审美」…苏州一公园「司马光砸缸」雕塑被指像猴，官方回应：建成后 20 年未收到负面反馈 _ 腾讯新闻,https://www.zhihu.com/question/1911487080229463099,https://pica.zhimg.com/80/v2-d5b4b7d6e6981081495682c4af83474c_400x224.png?source=1def8aca,157 万热度,388,"688,856",256,False,True,78912007663052369730616528595766961491791645612328998881061660469043851419776,[],462,[],123
16,顺丰寄丢价值 5 万手镯仅赔 67 元，这赔偿机制合理吗？快递贵重物品怎样做最保险？,近日，一女子联系记者称，自己花 5 万翡翠手镯被顺丰快递弄丢了，当事人和顺丰协商，由于快件没有保价，顺丰提出给予基础运费 7.5 元的 9 倍赔偿，即 67.5 元，当事人无法接受。 该事件曝光后，顺丰速运涉事网点负责人称已成立理赔小组，事件仍在处理中。 顺丰寄丢价值 5 万手镯仅赔 67 元 顺丰：快件没有保价，已成立理赔小组 近日，佛山的陈小姐网购了一只价值 49800 元的翡翠手镯，由于银行卡限额，她分开了三次支付，但收到货后她不太满意，于是选择了退货退款，当天上门收件的是顺丰速运，然而第二天晚上，陈小姐就被告知快件丢失了。 陈小姐： 快递员在 22 日早上 10 点把件取走了 是顺丰快递员 取走了之后 我这里就显示物流一直在正常运送的 按道理 23 日晚上就到了 但是我 23 日晚上才接到一个快递员的电话 他说我的件丢了 第二天，陈小姐和快递员报警处理，并到小区物管处调取了监控，发现快件是在监控盲区处丢失的，目前没办法确定快件的去处。后续陈小姐和顺丰协商理赔，但由于快件没有保价，她无法接受顺丰给出的赔偿金额。 涉事的顺丰速运网点负责人表示，目前当事快递员仍在正常上班，他每天都有在小区寻找丢失的快件，但仍未找回。 涉事网点负责人： 我们也配合警察去找货了 你说监守自盗这种事情 其实我们也诈过他 让他和领导对接过 确实没有 如果真的是监守自盗他都跑路了 应该是被别人捡了 被小区的某个业主捡了 针对此事，陈小姐正在走法律程序解决。对此，顺丰速运集团表示，由于快件没有保价，将按照非保价快件的条款，与客户协商理赔，暂时无法达成一致意见。将继续与客户保持沟通协商理赔。目前警方正在介入调查。 ,https://www.zhihu.com/question/1911709449699156355,https://pic3.zhimg.com/v2-f84b239ebfb601d5bc451730faf52b26_400x224.jpg,140 万热度,35,"31,830",23,False,True,2868250079469477124614469743117076946751934249496458916786144895769269251464,[],27,[],44
17,欧盟消息人士称无法改变特朗普对欧贸易政策，因此可能需要让步，从经济和地缘学看，欧洲为何需要退让？,消息人士透露，欧盟贸易谈判代表承认，他们不太可能迫使美国总统特朗普取消对欧盟施加的对等关税，并向各成员国发出警告，为了避免全面贸易战，可能需要作出更大的让步。 ,https://www.zhihu.com/question/1911682268495345259,https://pic1.zhimg.com/80/v2-3433bd64df429e4046a60b1da43135cb_400x224.png?source=1def8aca,127 万热度,26,"25,484",17,False,True,90952059226142881962360119696027597157127501211032522074311323525030793733632,[],7,[],312
18,为什么感觉旅游越来越没意思了？,,https://www.zhihu.com/question/1909216971469337728,https://pic1.zhimg.com/80/v2-07c309ff9ed164d169f37975dcfca6df_400x224.jpg,118 万热度,279,"179,403",157,False,True,55289678927625525577770819139612268034470159921188020893788577130160146435656,[],129,[],108
19,请问如何看待 2025 年新一线城市榜单？,,https://www.zhihu.com/question/1911051260477547256,https://pica.zhimg.com/50/v2-c3308caaa3d191dfe3de128cef31cdc2_400x224.jpg,106 万热度,67,"99,658",44,False,True,20350660049908753901889265505251433243629240262040570196412643277481096133101,[],141,[],73
20,《西虹市首富》里面想花完钱却越花越多的情况，现实里面会发生吗？,,https://www.zhihu.com/question/428046378,https://pica.zhimg.com/80/v2-9d765f33c660464349b02c0a9628332f_400x224.png,102 万热度,1701,"12,432,115",503,False,True,34243415283597504924579455944019884676472189753939859962166485945074377485498,[],1,[],1
21,5 月 30 日汤姆·克鲁斯主演的电影《碟中谍 8：最终清算》上映，如何评价这部电影？,,https://www.zhihu.com/question/1911477845458384078,https://picx.zhimg.com/50/v2-10a88c3d28cc53dbd22405cb65470973_400x224.jpg,98 万热度,21,"12,234",15,False,True,84510701384470818977062096721387707258214128306373203350630381188155904170680,[],8,[],20
22,禁招国际生案哈佛再获胜，美政府改立场提出「30 天限期」，怎样解读？禁招政策最终会被取消吗？,央视新闻消息，当地时间 29 日，美国马萨诸塞州联邦地区法院一名法官批准了哈佛大学提出的发布初步禁令请求，「叫停」特朗普政府取消哈佛大学招收外国学生资质的政策。 该法院法官艾莉森·伯勒斯 29 日就该案举行听证会。法院网站最新信息显示，此前发布的临时限制令将继续有效，待各方协商并提交提议供法官下一步审议之后，将发布最终的初步禁令。 本月 22 日，美国国土安全部宣布取消哈佛大学获得的学生和交流学者项目资质，禁止该校招收国际学生。23 日，哈佛大学就这一政策起诉特朗普政府。伯勒斯同日对特朗普政府针对哈佛的「国际禁招令」发出临时限制令，要求在举行听证会之前「维持现状」。 根据目前的裁决，哈佛大学仍将能够招收国际学生，但国土安全部表示，它仍计划通过行政途径撤销哈佛的 SEVP 认证。 本案法官伯勒斯表示，她将允许这一行政程序继续进行，哈佛大学将提交证据，反驳国土安全部关于该校允许校园内存在反犹太主义以及未能提供国际学生信息的指控。 特朗普政府给予哈佛 30 天时间提出异议 在 29 日听证会举行之前，美国司法部向法院提交了一份通知。根据这份显示日期为 28 日、由美国国土安全部发给哈佛大学的通知，特朗普政府给予哈佛大学 30 天时间，对政府撤销其招收外国学生和交流学者资格的政策提出异议。美国有线电视新闻网报道说，此举是在法官介入后，特朗普政府试图改变其在该事件上的强硬立场。禁招国际生案哈佛再获胜 美政府改立场提出「30 天限期」外交部回应美国决定取消中国留学生签证，歧视性做法戳穿所谓「自由开放」谎言，此举是否是「学术种族主义」？ - 知乎,https://www.zhihu.com/question/1911678788586168778,https://picx.zhimg.com/v2-022797523de3ed48add99cdae7071129_400x224.jpg?source=57bbeac9,95 万热度,36,"14,879",22,False,True,76982565923594055925024544996548347022721935881619893092429167944137559237591,[],14,[],6
23,理想汽车第一季度调整后净利润下降 20％，交付量增长 16％ 至 92864 辆，如何评价这一业绩？,5 月 29 日，理想汽车港交所公告称，第一季度实现营收 259.3 亿元人民币，同比增长 1.1％；净利润为人民币 6.47 亿元，同比增长 9.4％；归属股东的调整后净利润 10.2 亿元人民币，同比下降 20％。 第一季度交付量 92864 辆，同比增长 16％。公司预计第二季度营收 325 亿元人民币至 338 亿元人民币，同比增长 2.5% 至 6.7％；预计第二季度交付量 123000 至 128000 辆，同比增长 13.3% 至 17.9%。 第一季度的经营活动所用现金净额为人民币 17 亿元，较 2024 年第一季度的经营活动所用现金净额人民币 33 亿元减少 49.1%，而 2024 年第四季度的经营活动所得现金淨额为人民币 87 亿元。经营活动所用现金净额较 2024 年第一季度的变动主要由于从客户收到的现金增加及其他营运资金变动。理想汽车第一季度调整后净利润 10.2 亿元，同比下降 20％,https://www.zhihu.com/question/1911467242572461998,https://picx.zhimg.com/50/v2-79a7354c6d75a650beb4a9efb80b0453_400x224.jpg,82 万热度,41,"53,417",24,False,True,58876776538673171596295445300609531250286210333405903152953641613586229779211,[],29,[],20
24,假如有一个按钮，姚明亲自按了之后他身体恢复到 25 岁无伤病状态，但他财富清零，你认为他会按吗？,如题，按了之后姚明带着现有的记忆把身体恢复到 25 岁无伤病状态（但是时光不倒流），但是他名下现有所有资产都上交，以及所有最终受益人是他的现金流都不再有他的份，再残忍一点连他已取得的所有荣誉带来的收益都剥夺掉（他想卖奖牌都不行），简单的说就是一切清零，只剩身上穿着一身廉价的低档篮球服鞋和一个廉价的低档篮球嗖的一声传送到一个室内（别冻着他）篮球场，让他从头再来。你觉得他会按吗？按了之后还能东山再起吗？,https://www.zhihu.com/question/1898494982609937540,https://picx.zhimg.com/80/v2-52fb9b2c06a8200a36c0104a36a5f892_400x224.png?source=1def8aca,78 万热度,399,"1,078,300",299,False,True,22795452359697236846110852925918203295647821579130075442911176278356600401369,[],1952,[],1447
25,科技工作者，今年是你入行的第几年？还记得刚入行时的自己吗？若能与那个「新人」通话 60s，你会聊什么？,科技工作者，你好。 今年是你入行的第几年？还记得刚刚参加工作时的自己吗？ 从「新人菜鸟」到「独当一面」，你见证了哪些自己和行业的变化？ 这些年，你参与的科研成果中，哪一项真正改变了普通人的生活？或者，有没有一个瞬间，你觉得「很值得」？ 时过境迁，如果有一个与当年的自己「跨时空对话」 60 秒的机会，你最想对 TA 说点什么？ 当年困扰你的问题，如今得到解答了吗？今天，哪些问题成了你正在思考的？ 也许我们在不同的年代，都遇到过相似的问题。也许你现在正在困惑的，是我曾经历的。 你的问题，期待同路的「过来人」给你 @解答。,https://www.zhihu.com/question/1900483532964500590,https://picx.zhimg.com/80/v2-f6a900f1b575fb0ce1168539f907a446_400x224.png?source=1def8aca,73 万热度,135,"29,527",37,False,True,26273198610573082118730258063222651351354635142228384267130485462891746329212,[],72,[],92
26,哪些游戏领域提问会让你直呼提问角度真好？你觉得哪些条件能够算作好问题？,你是否经常会在脑海里闪过这些问号... 《英雄联盟》堆生命值和护甲哪个会更「肉」？ 为什么《黑神话：悟空》里「金池长老」跟「幽魂」长得几乎一样？ 为什么越来越多的游戏默认暴击伤害是 50%？ 为什么部分 FPS 游戏玩家有「换弹癌」？ 为什么在游戏中有身体缺陷的角色往往有着更高的战斗力？ 为什么玩游戏被 Boss「军训」十几次后我的战斗欲望会越来越强？《三国杀》中一张「杀」理论上最多可以造成多少伤害？ 为什么《红色警戒》的简称叫「红警」，《星际争霸》的简称却叫「星际」？ 总有一批玩家在体验游戏过程中，把游戏设定结合自身见闻与知识，碰撞出或脑洞大开或引人深思的好问题。上知乎，分享你的好奇心，让千万知友一起「无用 / 有用的知识又增加啦」！ 同时知乎游戏也将邀请知友们回答投稿到活动中的好问题，共赴一场游戏领域好奇心大赏。提问与回答都可以积攒活动积分，Switch2 游戏机、逐夜高端电竞椅还有海量游戏周边及盐粒送不停，这个 6 月，我们一起放飞好奇心！活动主会场：游问题大赛,https://www.zhihu.com/question/1911766060492878951,https://pic1.zhimg.com/80/v2-726a57e63f8dbc64dc29fbbad610437e_400x224.png?source=1def8aca,69 万热度,32,"2,966",21,False,True,85236586031542334234159861628460895153562941989130399006769078174332379598784,[],9,[],14
27,如果鸡的是恐龙的后代的话，它们保留了哪些恐龙时代的特征？,,https://www.zhihu.com/question/302064123,https://picx.zhimg.com/80/v2-5b04080bb377775d1a9e50669da0c7b5_400x224.png,69 万热度,69,"144,174",15,False,True,56798966041824699728962214121636922793332467567003001207786670554153817186823,[],247,[],79
28,为什么游戏里需要将冲锋枪设定为一个低伤害的武器？,,https://www.zhihu.com/question/1911308625529513790,https://pic4.zhimg.com/50/v2-e9d0dbb5cb9e79f05d16cd208a9c663f_400x224.jpg,67 万热度,22,"23,671",17,False,False,1217543494750641800181860406867589650298301814357500550661898454412837398845,[],52,[],10
29,《大明王朝 1566》里严嵩为什么说大明朝离不开他呢？,明明严嵩倒台后，徐阶干得比他强多了 再者，大明朝连嘉靖都离得开，为何离不开他严嵩,https://www.zhihu.com/question/1907838385164387087,,66 万热度,24,"13,495",19,False,True,7791192493602115587577275950392890338297970167592023018119859474955886482220,[],109,[],50
30,长门的实力为什么争议这么大？,,https://www.zhihu.com/question/516886271,https://pica.zhimg.com/50/v2-824793550bec76314378adf89a1d9a68_400x224.jpg,63 万热度,36,"262,229",21,False,True,53393212282781914570898853516253907878989373816831054587016510126620217225276,[],458,[],757
